"","x"
"1",2.76192135522499
"2",2.74650049119288
"3",1.60155362267253
"4",1.70313205813828
"5",3.08480456045684
"6",1.50724031125844
"7",2.11991510194053
"8",2.07558222666224
"9",1.41229733198245
"10",2.38391318348361
"11",1.74630389796308
"12",1.45810605196602
"13",1.96222626768849
"14",1.51011282256718
"15",0.598160952374663
"16",2.43195300898383
"17",1.98154083035854
"18",2.79433653166405
"19",1.6837106185395
"20",2.07243029239985
"21",1.20779436887517
"22",1.34243016414402
"23",2.92837672229301
"24",2.07682677716246
"25",1.69517156147556
"26",3.73222251267356
"27",3.70602845922867
"28",2.56881098126046
"29",0.465342243255307
"30",-0.929753915933625
"31",-1.80914551542577
"32",-1.08926587917254
"33",-0.231210919028007
"34",-0.69179059259622
"35",-0.728933723334073
"36",-0.0574242298410802
"37",-0.63806829191339
"38",-1.02956515767041
"39",-2.25643485871577
"40",-0.931791007227852
"41",0.134660149250493
"42",0.882481448977346
"43",0.692692243365003
"44",-0.270127071498388
"45",1.2106798475582
"46",1.66419585567604
"47",1.45123908149097
"48",1.9400676279238
"49",0.267576498147255
"50",0.598047522811934
"51",1.84567857360296
"52",1.22228854951307
"53",2.85017216591462
"54",3.77292346459811
"55",2.91758052126992
"56",3.46242649586617
"57",1.67763116299805
"58",2.03526245571863
"59",1.38186509934468
"60",1.37086591606221
"61",-0.0615171380439419
"62",1.95938964320743
"63",0.849539581659912
"64",1.94110142327761
"65",1.97389666444334
"66",1.71833656913117
"67",1.97184617429259
"68",0.271133825395921
"69",-0.816485671008425
"70",-0.195048942687244
"71",1.23109989073247
"72",-0.367276363817505
"73",-0.957914604288922
"74",-2.32968827544246
"75",-1.68542582238472
"76",-1.10847943905199
"77",-0.941831925434397
"78",-0.486129383521811
"79",0.232768985146188
"80",0.454964798339601
"81",0.280520801172559
"82",-0.735389529365469
"83",-1.83867854169587
"84",-2.26999453289933
"85",-1.09276609343834
"86",-1.01990621122637
"87",-0.395426961600534
"88",-0.237222218808091
"89",0.668359188156749
"90",0.835252248602329
"91",1.12606370333015
"92",1.3717840921744
"93",2.13810983779537
"94",1.46270915400694
"95",0.400892009984483
"96",-0.841561811402778
"97",-1.38615156553786
"98",-0.00753445534275787
"99",1.15083206813422
"100",-0.0422623784774172
