"","x"
"1",1.02762150536059
"2",0.570013409056972
"3",-1.60945945483134
"4",0.116237254020758
"5",2.80813263291569
"6",2.03965004355047
"7",-0.0791369448647472
"8",0.0333954959885501
"9",-0.926114826503188
"10",-2.69866740624561
"11",-2.63518963902744
"12",-2.08211262885782
"13",-1.84494563169842
"14",-2.10351018210285
"15",-2.93163568488271
"16",-2.74308187903973
"17",-2.13637615134773
"18",-1.33968134748864
"19",-2.41103432643693
"20",-2.09835543561366
"21",-2.0595352005115
"22",-1.97658300384012
"23",-1.2294856734029
"24",-2.23765267501467
"25",-5.46074411763194
"26",-5.38805400232506
"27",-4.13562319199363
"28",-3.66588180305705
"29",-2.77214998308804
"30",-4.14777641681384
"31",-6.12497889164865
"32",-6.24431843225858
"33",-4.05816453786593
"34",-4.10833188527572
"35",-2.74169962900538
"36",-2.55512516207663
"37",-2.38190637573252
"38",-1.03663943834562
"39",0.251471669180678
"40",-1.08012190076707
"41",-0.352154141855827
"42",2.98167736923067
"43",4.13209456644154
"44",2.91569513322309
"45",2.77438575673423
"46",0.938024489124806
"47",-1.13960613356045
"48",-1.70711531347051
"49",-2.58833689802944
"50",-2.57550540014507
"51",-2.44042382339041
"52",-3.24155592271748
"53",-4.01374134800388
"54",-3.87767061240045
"55",-3.77112213858954
"56",-3.49195360859935
"57",-4.59527979318142
"58",-4.00057065440517
"59",-1.48265097570845
"60",-2.60230104639143
"61",-1.4953340809783
"62",-0.568215288770393
"63",0.357097481136374
"64",1.89960439830102
"65",3.07411308753764
"66",4.14204014720717
"67",3.6183371424138
"68",1.54863183860434
"69",1.09653827824703
"70",-0.035587834830198
"71",-0.401450020809229
"72",0.662760146172802
"73",1.35480923613106
"74",0.853829108329264
"75",1.68249273271877
"76",2.39998845307495
"77",2.61061188492801
"78",3.32276715757258
"79",3.00854991758978
"80",1.34085458902895
"81",-0.89997856994336
"82",-0.760428461797259
"83",2.00898803904798
"84",2.67705046391229
"85",2.0265044771609
"86",1.09269124009953
"87",0.516627229965027
"88",0.302047318672922
"89",-0.213419594512035
"90",-2.32814048607769
"91",-1.74828761531037
"92",0.0280946883944544
"93",0.182899071538091
"94",0.363389044402229
"95",0.200124768188631
"96",0.834593753765573
"97",0.938248290436335
"98",1.42767218373205
"99",0.442718095115162
"100",-1.47428194878475
