Camp ID,Name,start_date,end_date,Category,reach,budget
1,Citrix WP_Q1_13 CPG,10/25/2008,1/20/2010,Technology,36.6,15396
2,Evergreen WP27 CPG,11/1/2008,9/3/2009,Technology,36.6,9603
3,Stratus WP CPG,11/6/2008,2/23/2009,Technology,36.6,19173
4,Oco WP_PAN CPG,11/6/2008,2/23/2009,Technology,36.6,5305
5,DTI wp CPG,11/8/2008,11/16/2012,Business/Finance,100,2735
6,"APSFC yourlessthan$2,Unlimiteddomains CPG",11/9/2008,11/9/2008,Technology,36.6,1937
7,Hubspot WP CPG,11/10/2008,1/11/2009,Technology,36.6,2144
8,Info WP CPG,11/10/2008,11/14/2010,Marketing,69.2,6657
9,Cognos WP CPG,11/10/2008,11/12/2012,Technology,38.5,8783
10,HP WP CPG,11/11/2008,11/6/2017,Technology,29.4,1414
11,Aveksa WP CPG,11/20/2008,11/20/2012,Technology,1.1,2616
12,mindSHIFT WP CPG,11/23/2008,2/22/2009,Technology,36.6,2684
13,MTI WP CPG,11/28/2008,12/23/2013,Business/Finance,100,11085
14,Trade WPITHMay-August'11 CPG,11/29/2008,8/14/2010,Business/Finance,36.6,30180
15,HP WP CPG,11/30/2008,12/21/2015,Technology,33.4,9412
16,APC WP CPG,12/4/2008,9/27/2009,Technology,36.6,19515
17,Tideway WP CPG,12/5/2008,6/16/2013,Technology,19,2710
18,Verint WP CPG,12/7/2008,12/14/2015,Technology,65.7,2983
19,Paymetric WP CPG,12/7/2008,11/27/2017,Technology,25.3,3949
20,WebEx wp CPG,12/11/2008,1/3/2009,Technology,36.6,6300
21,HP World CPG,12/11/2008,12/3/2018,Technology,33.5,8221
22,Opsware Workforce13 CPG,12/13/2008,12/4/2017,Technology,45.1,5624
23,Pivotal WMI CPG,12/15/2008,1/3/2009,Technology,36.6,5957
24,Vendor Word CPG,12/15/2008,1/25/2009,Technology,36.6,1650
25,Vendor WOOD CPG,12/15/2008,1/25/2009,Technology,36.6,5977
26,HP XenServer111710 CPG,12/26/2008,12/27/2008,Technology,36.6,367
27,Sophos Workflow CPG,12/26/2008,2/5/2022,Technology,44.9,706
28,Vision WizIQClassroom CPG,12/27/2008,4/12/2009,Technology,36.6,5289
29,CA withStandard164 CPG,12/28/2008,1/14/2013,Technology,67.9,14269
30,Vendor WirelessWeek42409 CPG,12/29/2008,4/3/2009,Technology,36.6,3114
31,Brainloop WirelessWeek40709 CPG,12/29/2008,1/13/2014,Technology,34.7,3790
32,Blue WirelessWeek121208 CPG,1/1/2009,1/12/2015,Technology,19,2207
33,Solidcore WirelessWeek31309 CPG,1/1/2009,1/19/2015,Technology,7.2,5622
34,Double-Take Wireless CPG,1/2/2009,5/8/2009,Technology,36.6,8529
35,GlobalSCAPE Wireless CPG,1/2/2009,1/8/2018,Technology,36.3,1713
36,Everest Winter CPG,1/5/2009,4/19/2009,Technology,36.6,4694
37,Raritan WireGuide CPG,1/5/2009,4/24/2009,Technology,36.6,11473
38,Astrocom Wireless CPG,1/5/2009,1/6/2014,Technology,82,1801
39,qaSignature Winter CPG,1/5/2009,1/13/2014,Technology,13.1,1779
40,mindSHIFT WinesHLOTD CPG,1/9/2009,2/22/2009,Technology,36.6,2568
41,VeriSign WindsTrialNTA81310 CPG,1/9/2009,6/25/2009,Technology,36.6,30667
42,uptime WindsTrialNPM81310 CPG,1/9/2009,1/2/2012,Technology,12.5,3018
43,Vendor WindsTrialIPAM81310 CPG,1/10/2009,2/10/2009,Technology,36.6,4361
44,netForensics WindsTrialCM81310 CPG,1/12/2009,5/8/2009,Technology,36.6,4881
45,DataDirect WindsTrialAPM81310 CPG,1/12/2009,9/3/2009,Technology,36.6,4197
46,Panda Winds-FreeQ22012 CPG,1/16/2009,4/20/2009,Technology,36.6,12792
47,WebEx Winds CPG,1/17/2009,1/25/2009,Technology,36.6,4559
48,Secure Winds CPG,1/19/2009,3/26/2009,Technology,36.6,5599
49,SAP WindowsIDGLeads11609 CPG,1/19/2009,4/8/2009,Technology,36.6,18812
50,Direct WindowsNov2012 CPG,1/19/2009,12/31/2012,Business/Finance,100,1517
51,SupplyChainConnect WindowsPhoneFY10 CPG,1/19/2009,1/19/2015,Technology,10.2,6896
52,Elementool Windows8 CPG,1/22/2009,3/5/2009,Technology,36.6,4972
53,Cognos Windowshade CPG,1/22/2009,1/23/2010,Technology,36.6,10483
