Cust_id,Network complaints,Data pack complaints,bill complaints,SMS_pack_Complaints,Other Complaints
2019115772,No,No,Yes,No,No
2019116058,Yes,No,No,No,No
2019119805,No,No,Yes,No,No
2019119981,No,Yes,No,No,No
2019120532,No,Yes,No,No,No
2019120656,No,No,No,No,Yes
2019120937,No,No,No,No,Yes
2019120969,No,No,Yes,No,No
2019121082,Yes,No,No,No,No
2019121188,No,No,No,Yes,No
2019121388,No,No,No,Yes,No
2019121457,No,No,No,Yes,No
2019121537,Yes,No,No,No,No
2019121599,No,No,Yes,No,No
2019122054,No,No,No,Yes,No
2019122100,No,No,Yes,No,No
2019122319,No,No,Yes,No,No
2019122677,No,No,No,Yes,No
2019123141,No,No,No,No,Yes
2019123239,No,No,No,No,Yes
2019123276,No,No,Yes,No,No
2019123325,No,Yes,No,No,No
2019123329,Yes,No,No,No,No
2019123410,No,Yes,No,No,No
2019123537,Yes,No,No,No,No
2019123855,Yes,No,No,No,No
2019123897,No,No,Yes,No,No
2019124142,Yes,No,No,No,No
2019124254,No,No,Yes,No,No
2019124351,Yes,No,No,No,No
2019124449,No,No,No,No,Yes
2019124521,No,No,No,Yes,No
2019124788,Yes,No,No,No,No
2019124854,No,No,No,Yes,No
2019124885,Yes,No,No,No,No
2019125105,Yes,No,No,No,No
2019125115,No,Yes,No,No,No
2019125161,No,No,No,Yes,No
2019125217,Yes,No,No,No,No
2019125219,Yes,No,No,No,No
2019125220,Yes,No,No,No,No
2019125239,No,No,No,No,Yes
2019125292,No,No,No,Yes,No
2019125336,No,Yes,No,No,No
2019125337,Yes,No,No,No,No
2019125339,No,Yes,No,No,No
2019125380,No,No,Yes,No,No
2019125538,Yes,No,No,No,No
2019125549,Yes,No,No,No,No
2019125550,Yes,No,No,No,No
2019125634,No,No,No,Yes,No
2019125777,Yes,No,No,No,No
2019125822,No,No,Yes,No,No
2019126235,No,No,Yes,No,No
2019126258,Yes,No,No,No,No
2019126296,Yes,No,No,No,No
2019126365,Yes,No,No,No,No
2019126493,No,Yes,No,No,No
2019126628,No,No,Yes,No,No
2019126735,No,No,No,Yes,No
2019126883,Yes,No,No,No,No
2019126904,No,No,Yes,No,No
2019126967,No,Yes,No,No,No
2019127055,Yes,No,No,No,No
2019127096,Yes,No,No,No,No
2019127131,No,Yes,No,No,No
2019127159,No,No,Yes,No,No
2019127245,Yes,No,No,No,No
2019127318,No,No,No,No,Yes
2019127365,No,No,No,Yes,No
2019127692,Yes,No,No,No,No
2019127738,No,No,No,No,Yes
2019127770,No,No,No,No,Yes
2019127949,No,Yes,No,No,No
2019128053,No,No,Yes,No,No
2019128064,No,No,No,Yes,No
2019128093,Yes,No,No,No,No
2019128157,No,No,No,Yes,No
2019128213,No,Yes,No,No,No
2019128267,No,No,No,No,Yes
2019128368,Yes,No,No,No,No
2019128373,Yes,No,No,No,No
2019128443,No,No,No,No,Yes
2019128499,Yes,No,No,No,No
2019128509,No,No,No,No,Yes
2019128532,No,No,No,Yes,No
2019128653,No,No,Yes,No,No
2019128677,No,No,No,No,Yes
2019128737,No,Yes,No,No,No
2019128845,Yes,No,No,No,No
2019129059,No,No,No,No,Yes
2019129073,No,No,No,No,Yes
2019129229,No,No,Yes,No,No
2019129234,Yes,No,No,No,No
2019129255,Yes,No,No,No,No
2019129265,No,No,No,No,Yes
2019129325,No,Yes,No,No,No
2019129346,No,Yes,No,No,No
2019129349,Yes,No,No,No,No
2019129350,No,No,No,No,Yes
2019129353,Yes,No,No,No,No
2019129355,No,No,No,Yes,No
2019129356,No,Yes,No,No,No
2019129357,No,No,No,Yes,No
2019129358,No,No,Yes,No,No
2019129359,No,No,No,Yes,No
2019129360,No,No,Yes,No,No
2019129361,Yes,No,No,No,No
2019129362,No,No,Yes,No,No
2019129363,No,Yes,No,No,No
2019129364,Yes,No,No,No,No
2019129366,No,No,No,Yes,No
2019129367,No,No,Yes,No,No
2019129370,Yes,No,No,No,No
2019129371,No,No,No,Yes,No
2019129372,No,No,No,Yes,No
2019129374,No,Yes,No,No,No
2019129375,No,No,Yes,No,No
2019129380,No,No,No,No,Yes
2019129382,No,No,No,No,Yes
2019129384,No,No,No,No,Yes
2019129386,No,Yes,No,No,No
2019129390,No,No,Yes,No,No
2019129392,No,No,No,No,Yes
2019129394,No,No,Yes,No,No
2019129397,No,No,No,No,Yes
2019129399,Yes,No,No,No,No
2019129402,No,Yes,No,No,No
2019129404,No,No,No,No,Yes
2019129405,No,No,No,No,Yes
2019129408,No,No,No,Yes,No
2019129409,No,No,No,No,Yes
2019129410,No,No,No,Yes,No
