Cust_id,Cust_type,ACCOUNT_catid_NO,cust_account_start_date,Bill_Id,Bill_Amount
2019163645,ATTI -ED,1443831475,12/12/2009,1208136629,2498886
6019124803,ATTI -FA,1443792516,10/17/2008,1229767424,1264144
9077649354,ATTI -FF,1442268246,2/16/2007,1208060015,842793
2019163654,ATTI -AF,1443831587,2/21/2010,1208133216,637458
9077692456,ATTI -AA,1439417474,11/22/2005,1227041576,611285
10254469134,ATTI -FC,2146374084,2/14/2012,1234675885,582857
10254646912,ATTI -AB,2146412749,8/18/2012,1234570950,506827
2019163646,ATTI -EE,1443831477,12/28/2009,1208069539,493230
10254658023,ATTI -CE,2146412750,1/15/2012,1234688311,490434
2019165914,ATTI -EC,1443836616,1/26/2010,1208155818,449101
9077692456,ATTI -CB,1439417474,10/31/2006,1239190652,435840
2019145910,ATTI -FC,1443832534,1/7/2010,1208101338,354218
10254315887,ATTI -DF,2146895608,11/8/2012,1234667240,331287
9077583456,ATTI -CC,1441012525,6/21/2007,1229999711,329104
2019145904,ATTI -EC,1443832496,7/18/2009,1208054195,324730
9078289456,ATTI -AC,2142893560,10/30/2011,1239181341,275988
6019123940,ATTI -FF,1443795885,1/16/2009,1208032704,252900
9077651540,ATTI -FE,1442286993,12/19/2007,1208104760,236049
2019134657,ATTI -BE,1443814020,11/15/2009,1238345134,233339
2019134656,ATTI -FF,1443814018,12/20/2009,1238346617,233339
2019163655,ATTI -FE,1443832487,8/23/2009,1208057193,221453
9078289456,ATTI -FB,2142893560,6/26/2011,1227030890,219704
4011125545,ATTI -DD,1443797530,1/11/2009,1208034685,211467
2019204479,ATTI -EF,1443855060,9/22/2010,1208105777,210767
9077583456,ATTI -BC,1441012525,4/5/2007,1207790642,203463
6019189714,ATTI -FC,1443870327,4/12/2011,1207981367,202345
9077317566,ATTI -EB,1443768772,12/4/2008,1225081608,196723
9077320429,ATTI -BF,1443765739,8/18/2009,1229715387,193601
2019145134,ATTI -DC,1443833256,9/6/2010,1208058102,187826
9077314727,ATTI -CD,1443257150,7/18/2008,1208104221,182678
2019126967,ATTI -DD,1443819722,4/20/2009,1208043167,180400
2019133923,ATTI -FF,1443812511,8/29/2009,1208140810,180398
8019133567,ATTI -EE,1443832612,10/21/2009,1208086678,176451
8019133565,ATTI -EF,1443832615,11/24/2009,1208123022,176438
9077319490,ATTI -DC,1443716173,9/29/2008,1207983440,173663
9078431556,ATTI -AB,2144787600,2/24/2012,1235745034,151896
9078431556,ATTI -CE,2144787600,7/8/2012,1215806763,148594
