Hour,Sales,,,Sales ordered,,,,,,,,,,,,,
1,$100 ,,,$30 ,,Hour,1,2,3,4,5,6,7,8,9,,
2,$90 ,,,$90 ,,Sales,$100 ,$90 ,$250 ,$300 ,$120 ,$30 ,$700 ,$500 ,$100 ,,
3,$250 ,,,$100 ,,,,,,,,,,,,,
4,$300 ,,,$100 ,,,,,,,,,,,,,
5,$120 ,,,$120 ,,,,,,,,,,,,,
6,$30 ,,,$250 ,,,,,,,,,,,,,
7,$700 ,,,$300 ,,,,,,,,,,,,,
8,$500 ,,,$500 ,,,,,,,,,,,,,
9,$100 ,,,$700 ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Hour,Sales,,,Sales ordered,,,,,,,,,,,,,
1,$100 ,,,$30 ,,,,,,,,,,,,,
2,$90 ,,,$90 ,,,,,,,,,,,,,
3,$250 ,,,$90 ,,,,,,,,,,,,,
4,$300 ,,,$100 ,,,,,,,,,,,,,
5,$120 ,,,$100 ,,,,,,,,,,,,,
6,$30 ,,,$120 ,,,,,,,,,,,,,
7,$700 ,,,$250 ,,,,,,,,,,,,,
8,$500 ,,,$300 ,,,,,,,,,,,,,
9,$100 ,,,$500 ,,,,,,,,,,,,,
10,$90 ,,,$700 ,,,,,,,,,,,,,
